,Data,Open,High,Low,Close,Volume,Ajustado,Retornos,Retornos Ajustados
85,2001-05-08,14861,14958,14656,14747,0,14747,-114,-114
86,2001-05-09,14717,14867,14576,14779,0,14779,62,62
87,2001-05-10,14796,15117,14796,14993,0,14993,197,197
88,2001-05-11,15012,15018,14410,14493,0,14493,-519,-519
89,2001-05-14,14499,14507,14104,14237,0,14237,-262,-262
90,2001-05-15,14141,14314,14110,14226,0,14226,85,85
91,2001-05-16,14256,14738,14256,14714,0,14714,458,458
92,2001-05-17,14727,15095,14725,14794,0,14794,67,67
93,2001-05-18,14848,15012,14800,14884,0,14884,36,36
94,2001-05-21,14871,15158,14807,15128,0,15128,257,257
95,2001-05-22,15142,15197,14794,14829,0,14829,-313,-313
96,2001-05-23,14829,14905,14627,14692,0,14692,-137,-137
97,2001-05-24,14694,14834,14431,14523,0,14523,-171,-171
98,2001-05-25,14523,14589,14179,14310,0,14310,-213,-213
99,2001-05-28,14328,14439,14056,14302,0,14302,-26,-26
100,2001-05-29,14302,14489,14301,14454,0,14454,152,152
101,2001-05-30,14459,14579,14347,14489,0,14489,30,30
102,2001-05-31,14514,14724,14508,14650,0,14650,136,136
103,2001-06-01,14654,14792,14409,14792,0,14792,138,138
104,2001-06-04,14798,15141,14798,15104,0,15104,306,306
105,2001-06-05,15107,15406,15032,15395,0,15395,288,288
106,2001-06-06,15393,15569,15268,15329,0,15329,-64,-64
107,2001-06-07,15319,15546,15201,15464,0,15464,145,145
108,2001-06-08,15469,15644,15355,15366,0,15366,-103,-103
109,2001-06-11,15291,15397,15159,15224,0,15224,-67,-67
110,2001-06-12,15238,15238,14956,15173,0,15173,-65,-65
111,2001-06-13,15175,15600,15175,15403,0,15403,228,228
112,2001-06-15,15386,15386,14964,14985,0,14985,-401,-401
113,2001-06-18,14982,14982,14333,14355,0,14355,-627,-627
114,2001-06-19,14375,14541,14245,14401,0,14401,26,26
115,2001-06-20,14396,14599,14393,14571,0,14571,175,175
116,2001-06-21,14534,14841,14506,14823,0,14823,289,289
117,2001-06-22,14870,15104,14677,14682,0,14682,-188,-188
118,2001-06-25,14682,14871,14479,14540,0,14540,-142,-142
119,2001-06-26,14521,14620,14401,14460,0,14460,-61,-61
120,2001-06-27,14477,14630,14265,14308,0,14308,-169,-169
121,2001-06-28,14321,14426,14164,14391,0,14391,70,70
122,2001-06-29,14412,14640,14376,14560,0,14560,148,148
123,2001-07-02,14579,14659,14483,14555,0,14555,-24,-24
124,2001-07-03,14561,14771,14325,14353,0,14353,-208,-208
125,2001-07-04,14352,14395,13980,14056,0,14056,-296,-296
126,2001-07-05,14084,14281,13943,14048,0,14048,-36,-36
127,2001-07-06,14030,14062,13788,13907,0,13907,-123,-123
128,2001-07-10,13930,14060,13564,13570,0,13570,-360,-360
129,2001-07-11,13508,13853,13361,13812,0,13812,304,304
130,2001-07-12,13812,13987,13636,13916,0,13916,104,104
131,2001-07-13,13907,14087,13737,14078,0,14078,171,171
132,2001-07-16,14081,14120,13811,13811,0,13811,-270,-270
133,2001-07-17,13813,14218,13813,14169,0,14169,356,356
134,2001-07-18,14171,14236,13778,13791,0,13791,-380,-380
135,2001-07-19,13795,13953,13641,13762,0,13762,-33,-33
136,2001-07-20,13766,14092,13659,14092,0,14092,326,326
137,2001-07-23,14108,14239,14058,14068,0,14068,-40,-40
138,2001-07-24,14049,14106,13725,13738,0,13738,-311,-311
139,2001-07-25,13738,13956,13679,13956,0,13956,218,218
140,2001-07-26,13963,13980,13736,13810,0,13810,-153,-153
141,2001-07-27,13825,13910,13759,13910,0,13910,85,85
142,2001-07-30,13948,14117,13704,13704,0,13704,-244,-244
143,2001-07-31,13703,13830,13639,13754,0,13754,51,51
144,2001-08-01,13757,13837,13606,13743,0,13743,-14,-14
145,2001-08-02,13746,13846,13690,13823,0,13823,77,77
146,2001-08-03,13840,13902,13733,13838,0,13838,-2,-2
147,2001-08-06,13856,14067,13854,14047,0,14047,191,191
148,2001-08-07,14049,14143,14003,14036,0,14036,-13,-13
149,2001-08-08,14036,14113,13917,13919,0,13919,-117,-117
150,2001-08-09,13921,13930,13705,13834,0,13834,-87,-87
151,2001-08-10,13836,13920,13738,13915,0,13915,79,79
152,2001-08-13,13914,13929,13716,13771,0,13771,-143,-143
153,2001-08-14,13770,13841,13732,13829,0,13829,59,59
154,2001-08-15,13834,13856,13615,13659,0,13659,-175,-175
155,2001-08-16,13686,13722,13415,13509,0,13509,-177,-177
156,2001-08-17,13507,13507,13010,13044,0,13044,-463,-463
157,2001-08-20,13044,13228,12916,13115,0,13115,71,71
158,2001-08-21,13122,13186,12886,12892,0,12892,-230,-230
159,2001-08-22,12907,13161,12853,12952,0,12952,45,45
160,2001-08-23,12961,13013,12703,12751,0,12751,-210,-210
161,2001-08-24,12749,13007,12681,13001,0,13001,252,252
162,2001-08-27,13000,13048,12849,12996,0,12996,-4,-4
163,2001-08-28,13005,13114,12942,13018,0,13018,13,13
164,2001-08-29,13040,13182,13012,13077,0,13077,37,37
165,2001-08-30,13074,13114,12798,12892,0,12892,-182,-182
166,2001-08-31,12906,12949,12789,12841,0,12841,-65,-65
167,2001-09-03,12849,12863,12696,12800,0,12800,-49,-49
168,2001-09-04,12812,12947,12767,12767,0,12767,-45,-45
169,2001-09-05,12767,12768,12462,12591,0,12591,-176,-176
