Data,Open,High,Low,Close,Volume,Ajustado
4/3/2001,13988,14001,13664,13737,0,13737
4/4/2001,13740,14135,13740,13855,0,13855
4/5/2001,13865,14482,13865,14443,0,14443
4/6/2001,14428,14702,14371,14485,0,14485
4/9/2001,14489,14719,14446,14719,0,14719
4/10/2001,14725,15097,14725,15048,0,15048
4/11/2001,15057,15267,14724,14819,0,14819
4/12/2001,14811,14969,14490,14969,0,14969
4/16/2001,14974,14976,14385,14445,0,14445
4/17/2001,14443,14555,14223,14337,0,14337
4/18/2001,14345,15151,14323,14955,0,14955
4/19/2001,14956,15017,14420,14431,0,14431
4/20/2001,14408,14408,13618,13696,0,13696
4/23/2001,13734,13893,13325,13893,0,13893
4/24/2001,13894,14207,13894,14068,0,14068
4/25/2001,14062,14223,13785,14163,0,14163
4/26/2001,14204,14770,14202,14757,0,14757
4/27/2001,14752,15135,14752,14928,0,14928
4/30/2001,14944,15210,14838,14918,0,14918
5/2/2001,14877,14920,14636,14897,0,14897
5/3/2001,14906,15142,14762,15142,0,15142
5/4/2001,15142,15304,15041,15093,0,15093
5/7/2001,15103,15222,14862,14875,0,14875
5/8/2001,14861,14958,14656,14747,0,14747
5/9/2001,14717,14867,14576,14779,0,14779
5/10/2001,14796,15117,14796,14993,0,14993
5/11/2001,15012,15018,14410,14493,0,14493
5/14/2001,14499,14507,14104,14237,0,14237
5/15/2001,14141,14314,14110,14226,0,14226
5/16/2001,14256,14738,14256,14714,0,14714
5/17/2001,14727,15095,14725,14794,0,14794
5/18/2001,14848,15012,14800,14884,0,14884
5/21/2001,14871,15158,14807,15128,0,15128
5/22/2001,15142,15197,14794,14829,0,14829
5/23/2001,14829,14905,14627,14692,0,14692
5/24/2001,14694,14834,14431,14523,0,14523
5/25/2001,14523,14589,14179,14310,0,14310
5/28/2001,14328,14439,14056,14302,0,14302
5/29/2001,14302,14489,14301,14454,0,14454
5/30/2001,14459,14579,14347,14489,0,14489
5/31/2001,14514,14724,14508,14650,0,14650
6/1/2001,14654,14792,14409,14792,0,14792
6/4/2001,14798,15141,14798,15104,0,15104
6/5/2001,15107,15406,15032,15395,0,15395
6/6/2001,15393,15569,15268,15329,0,15329
6/7/2001,15319,15546,15201,15464,0,15464
6/8/2001,15469,15644,15355,15366,0,15366
6/11/2001,15291,15397,15159,15224,0,15224
6/12/2001,15238,15238,14956,15173,0,15173
6/13/2001,15175,15600,15175,15403,0,15403
6/15/2001,15386,15386,14964,14985,0,14985
6/18/2001,14982,14982,14333,14355,0,14355
6/19/2001,14375,14541,14245,14401,0,14401
6/20/2001,14396,14599,14393,14571,0,14571
6/21/2001,14534,14841,14506,14823,0,14823
6/22/2001,14870,15104,14677,14682,0,14682
6/25/2001,14682,14871,14479,14540,0,14540
6/26/2001,14521,14620,14401,14460,0,14460
6/27/2001,14477,14630,14265,14308,0,14308
6/28/2001,14321,14426,14164,14391,0,14391
6/29/2001,14412,14640,14376,14560,0,14560
7/2/2001,14579,14659,14483,14555,0,14555
7/3/2001,14561,14771,14325,14353,0,14353
7/4/2001,14352,14395,13980,14056,0,14056
7/5/2001,14084,14281,13943,14048,0,14048
7/6/2001,14030,14062,13788,13907,0,13907
7/10/2001,13930,14060,13564,13570,0,13570
7/11/2001,13508,13853,13361,13812,0,13812
7/12/2001,13812,13987,13636,13916,0,13916
7/13/2001,13907,14087,13737,14078,0,14078
7/16/2001,14081,14120,13811,13811,0,13811
7/17/2001,13813,14218,13813,14169,0,14169
7/18/2001,14171,14236,13778,13791,0,13791
7/19/2001,13795,13953,13641,13762,0,13762
7/20/2001,13766,14092,13659,14092,0,14092
7/23/2001,14108,14239,14058,14068,0,14068
7/24/2001,14049,14106,13725,13738,0,13738
7/25/2001,13738,13956,13679,13956,0,13956
7/26/2001,13963,13980,13736,13810,0,13810
7/27/2001,13825,13910,13759,13910,0,13910
7/30/2001,13948,14117,13704,13704,0,13704
7/31/2001,13703,13830,13639,13754,0,13754
8/1/2001,13757,13837,13606,13743,0,13743
8/2/2001,13746,13846,13690,13823,0,13823
8/3/2001,13840,13902,13733,13838,0,13838
8/6/2001,13856,14067,13854,14047,0,14047
8/7/2001,14049,14143,14003,14036,0,14036
8/8/2001,14036,14113,13917,13919,0,13919
8/9/2001,13921,13930,13705,13834,0,13834
8/10/2001,13836,13920,13738,13915,0,13915
8/13/2001,13914,13929,13716,13771,0,13771
8/14/2001,13770,13841,13732,13829,0,13829
8/15/2001,13834,13856,13615,13659,0,13659
8/16/2001,13686,13722,13415,13509,0,13509
8/17/2001,13507,13507,13010,13044,0,13044
8/20/2001,13044,13228,12916,13115,0,13115
